product_name,supplier_item_code,detail_url,image_url,page_number,taxonomy_label,match_type,match_confidence
Farola Izquierdo Para Kia Sportage Modelos 2009 A 2016 Sp,3131,https://www.partcar.com.co/importacion-1/farola-kia-sportage-2009%E2%80%932016-izquierdo-sp,https://www.autolatas.co/cat/3131.jpg,1,lighting_headlamps,category_only,medium
Farola Izquierdo Para Kia Rio Modelos 2010 A 2012 Sp,3129,https://www.partcar.com.co/importacion-1/farola-kia-rio-2010%E2%80%932012-izquierdo-sp,https://www.autolatas.co/cat/3129.jpg,1,lighting_headlamps,category_only,medium
Farola Derecho Para Kia Rio Modelos 2004 A 2016 Isl,3128,https://www.partcar.com.co/importacion-1/farola-kia-rio-2004%E2%80%932016-derecho-isl,https://www.autolatas.co/cat/3128.jpg,1,lighting_headlamps,category_only,medium
Farola Izquierdo Para Kia Rio Modelos 2004 A 2016 Isl,3127,https://www.partcar.com.co/importacion-1/farola-kia-rio-2004%E2%80%932016-izquierdo-isl,https://www.autolatas.co/cat/3127.jpg,1,lighting_headlamps,category_only,medium
Farola Derecho Para Kia Rio Modelos 2004 A 2016 Depo,3126,https://www.partcar.com.co/importacion-1/farola-kia-rio-2004%E2%80%932016-derecho-depo,https://www.autolatas.co/cat/3126.jpg,1,lighting_headlamps,category_only,medium
Farola Izquierdo Para Kia Rio Modelos 2004 A 2016 Depo,3125,https://www.partcar.com.co/importacion-1/farola-kia-rio-2004%E2%80%932016-izquierdo-depo,https://www.autolatas.co/cat/3125.jpg,1,lighting_headlamps,category_only,medium
Farola Derecho Para Kia Picanto Modelos 2012 A 2017 Isl,3119,https://www.partcar.com.co/importacion-1/farola-kia-picanto-2012%E2%80%932017-derecho-isl,https://www.autolatas.co/cat/3119.jpg,1,lighting_headlamps,category_only,medium
Farola Izquierdo Para Kia Picanto Modelos 2012 A 2017 Isl,3118,https://www.partcar.com.co/importacion-1/farola-kia-picanto-2012%E2%80%932017-izquierdo-isl,https://www.autolatas.co/cat/3118.jpg,1,lighting_headlamps,category_only,medium
Farola Derecho Para Kia K2700 Modelos 2006 A 2012 Sm,3116,https://www.partcar.com.co/importacion-1/farola-kia-k2700-2006%E2%80%932012-derecho-sm,https://www.autolatas.co/cat/3116.jpg,1,lighting_headlamps,category_only,medium
Farola Izquierdo Para Jeep Grand Cherokee Modelos 1999 A 2005 Depo,3114,https://www.partcar.com.co/importacion-1/farola-jeep-grand-cherokee-1999%E2%80%932005-izquierdo-depo,https://www.autolatas.co/cat/3114.jpg,1,lighting_headlamps,category_only,medium
Farola Derecho Para Jeep Grand Cherokee Modelos 1999 A 2005 Tyc,3113,https://www.partcar.com.co/importacion-1/farola-jeep-grand-cherokee-1999%E2%80%932005-derecho-tyc,https://www.autolatas.co/cat/3113.jpg,1,lighting_headlamps,category_only,medium
Farola Izquierda Para Jeep Grand Cherokee Modelos 2008 A 2010 Tyc,3109,https://www.partcar.com.co/importacion-1/farola-jeep-grand-cherokee-2008%E2%80%932010-izquierda-tyc,https://www.autolatas.co/cat/3109.jpg,1,lighting_headlamps,category_only,medium
Farola Derecha Para Jeep Grand Cherokee Modelos 2008 A 2010 Tyc,3108,https://www.partcar.com.co/importacion-1/farola-jeep-grand-cherokee-2008%E2%80%932010-derecha-tyc,https://www.autolatas.co/cat/3108.jpg,1,lighting_headlamps,category_only,medium
Farola Izquierdo Para Jeep Grand Cherokee Modelos 2008 A 2010 Depo,3106,https://www.partcar.com.co/importacion-1/farola-jeep-grand-cherokee-2008%E2%80%932010-izquierdo-depo,https://www.autolatas.co/cat/3106.jpg,1,lighting_headlamps,category_only,medium
Farola Izquierdo Para Jeep Cherokee Liberty Compass Modelos 2005 A 2007 Depo,3101,https://www.partcar.com.co/importacion-1/farola-jeep-cherokee-liberty-compass-2005%E2%80%932007-izquierdo-depo,https://www.autolatas.co/cat/3101.jpg,1,lighting_headlamps,category_only,medium
Farola Derecho Para Jac Star J3 Veloce Modelos 2012 A 2014 Sm,3100,https://www.partcar.com.co/importacion-1/farola-jac-star-j3-veloce-2012%E2%80%932014-derecho-sm,https://www.autolatas.co/cat/3100.jpg,1,lighting_headlamps,category_only,medium
Farola Izquierdo Para Jac Star J3 Veloce Modelos 2012 A 2014 Sm,3099,https://www.partcar.com.co/importacion-1/farola-jac-star-j3-veloce-2012%E2%80%932014-izquierdo-sm,https://www.autolatas.co/cat/3099.jpg,1,lighting_headlamps,category_only,medium
